Gene	ID	Tumor	Normal	log2FC	Qvalue					
DFNA5	ENSG00000105928.13	1.540	4.840	-1.201	1.89e-28
DFNB31	ENSG00000095397.13	3.490	10.740	-1.387	1.21e-37
DFNB59	ENSG00000204311.11	0.750	2.520	-1.008	7.06e-56
DGAT2	ENSG00000062282.14	18.539	1.850	2.777	9.60e-125
DHCR24	ENSG00000116133.11	70.790	12.620	2.398	4.49e-63
DHCR7	ENSG00000172893.15	48.539	7.700	2.510	2.16e-126
DHFR	ENSG00000228716.6	23.630	6.690	1.679	1.48e-126
DHFRP1	ENSG00000188985.6	9.900	0.800	2.598	6.97e-146
DIAPH1	ENSG00000131504.15	54.481	19.490	1.437	4.02e-105
DIAPH3	ENSG00000139734.17	5.070	0.200	2.339	3.10e-212
DIO2	ENSG00000211448.11	1.930	0.390	1.076	1.20e-71
DIO3OS	ENSG00000258498.6	8.430	27.990	-1.620	2.08e-40
DIP2C	ENSG00000151240.15	2.480	13.010	-2.009	5.73e-62
DIRAS3	ENSG00000162595.4	0.310	2.080	-1.233	1.94e-64
DIRC3	ENSG00000231672.6	0.030	1.160	-1.068	1.86e-92
DISP1	ENSG00000154309.8	1.320	4.770	-1.314	1.39e-48
DIXDC1	ENSG00000150764.13	2.960	17.960	-2.259	9.93e-70
DKC1	ENSG00000130826.15	81.221	19.631	1.995	7.61e-179
DLC1	ENSG00000164741.14	3.100	15.390	-1.999	8.44e-60
DLEU1	ENSG00000176124.11	11.970	4.080	1.352	4.37e-128
DLEU1_1	ENSG00000276089.1	5.360	1.110	1.592	1.97e-40
DLG3	ENSG00000082458.11	31.569	13.420	1.175	1.23e-68
DLG4	ENSG00000132535.18	2.830	20.210	-2.469	2.46e-91
DLGAP5	ENSG00000126787.12	10.310	0.390	3.024	7.28e-166
DMBT1	ENSG00000187908.15	15.590	2.460	2.261	7.10e-12
DMD	ENSG00000198947.14	2.440	21.651	-2.719	8.53e-72
DMPK	ENSG00000104936.17	13.330	95.862	-2.757	2.23e-85
DMTF1	ENSG00000135164.18	16.120	54.731	-1.703	3.87e-75
DMXL2	ENSG00000104093.13	7.690	21.550	-1.376	2.55e-78
DNA2	ENSG00000138346.14	3.900	1.410	1.024	1.51e-96
DNAAF5	ENSG00000164818.15	26.040	12.170	1.038	3.56e-115
DNAH14	ENSG00000185842.14	6.040	2.080	1.193	4.07e-54
DNAJB11	ENSG00000090520.10	116.969	56.001	1.049	7.15e-69
DNAJB4	ENSG00000162616.8	5.130	11.800	-1.062	6.33e-45
DNAJB5	ENSG00000137094.14	1.920	29.449	-3.382	3.34e-82
DNAJC15	ENSG00000120675.5	34.201	10.620	1.599	2.45e-95
DNAJC19P9	ENSG00000258608.1	2.280	0.410	1.218	2.00e-74
DNAJC22	ENSG00000178401.14	9.910	0.880	2.537	3.91e-56
DNALI1	ENSG00000163879.10	1.590	7.250	-1.671	1.40e-32
DNER	ENSG00000187957.7	0.070	2.840	-1.843	7.79e-82
DNHD1	ENSG00000179532.12	1.940	10.120	-1.919	2.81e-101
DNM3OS	ENSG00000230630.2	0.350	3.530	-1.747	1.47e-93
DNTTIP1	ENSG00000101457.12	69.079	27.611	1.292	2.74e-88
DOC2GP	ENSG00000231793.4	0.240	2.190	-1.363	1.16e-87
DOCK3	ENSG00000088538.12	0.070	1.480	-1.213	1.96e-73
DOCK4	ENSG00000128512.19	1.610	4.340	-1.033	2.02e-53
DOK4	ENSG00000125170.10	39.330	12.870	1.540	1.33e-31
DOLPP1	ENSG00000167130.17	14.600	6.350	1.086	4.49e-17
DOPEY2	ENSG00000142197.12	10.130	4.280	1.076	4.69e-37
DPEP1	ENSG00000015413.9	111.113	0.480	6.243	2.18e-181
DPEP2	ENSG00000167261.13	0.800	2.640	-1.016	6.42e-49
DPH1	ENSG00000108963.17	17.349	37.239	-1.059	7.25e-54
DPH6	ENSG00000134146.11	11.500	4.780	1.113	1.17e-104
DPM2	ENSG00000136908.17	45.320	21.010	1.073	5.29e-117
DPP10	ENSG00000175497.16	0.080	1.260	-1.065	2.20e-47
DPP10-AS1	ENSG00000235026.5	0.050	1.870	-1.451	1.78e-37
DPP3	ENSG00000254986.7	58.590	18.330	1.624	9.90e-86
DPP6	ENSG00000130226.16	0.040	9.520	-3.338	3.42e-96
DPT	ENSG00000143196.4	2.440	156.129	-5.513	2.91e-121
DPY19L1	ENSG00000173852.13	13.430	5.800	1.085	3.81e-111
DPY19L2	ENSG00000177990.11	0.160	5.680	-2.526	1.09e-109
DPYD	ENSG00000188641.12	1.760	8.420	-1.771	3.92e-79
DPYSL3	ENSG00000113657.12	15.540	80.710	-2.305	9.66e-38
DSC2	ENSG00000134755.14	19.370	2.710	2.457	1.96e-29
DSCC1	ENSG00000136982.5	7.540	1.490	1.778	4.46e-172
DSEL	ENSG00000171451.13	0.180	1.370	-1.006	1.07e-86
DSG2	ENSG00000046604.12	76.261	3.670	4.048	4.35e-71
DSN1	ENSG00000149636.15	17.480	4.900	1.647	8.83e-161
DSP	ENSG00000096696.13	52.731	4.330	3.334	4.30e-67
DST	ENSG00000151914.17	29.470	201.117	-2.730	3.28e-91
DSTN	ENSG00000125868.15	321.906	793.727	-1.299	2.70e-18
DSTNP1	ENSG00000230982.1	0.710	2.450	-1.013	4.19e-78
DTD1	ENSG00000125821.11	38.419	14.560	1.341	8.45e-113
DTL	ENSG00000143476.17	8.820	0.610	2.609	5.44e-175
DTNA	ENSG00000134769.21	1.160	22.600	-3.450	3.94e-91
DTX2	ENSG00000091073.19	47.009	15.850	1.511	1.71e-99
DTX3	ENSG00000178498.15	4.470	67.372	-3.644	5.13e-106
DTYMK	ENSG00000168393.12	43.600	11.750	1.807	2.61e-144
DUOX2	ENSG00000140279.12	10.150	0.620	2.783	9.40e-41
DUOXA2	ENSG00000140274.13	5.870	0.130	2.604	1.83e-52
DUSP1	ENSG00000120129.5	44.520	132.274	-1.550	1.10e-39
DUSP16	ENSG00000111266.8	21.230	7.650	1.362	1.47e-84
DUSP18	ENSG00000167065.13	8.110	3.420	1.043	1.03e-83
DUSP2	ENSG00000158050.4	9.010	2.350	1.579	7.75e-67
DUSP26	ENSG00000133878.8	0.130	1.820	-1.319	1.87e-119
DUSP3	ENSG00000108861.8	23.700	49.869	-1.042	1.31e-25
DUSP4	ENSG00000120875.8	4.390	0.770	1.606	1.12e-70
DUSP6	ENSG00000139318.7	55.280	22.099	1.285	8.80e-55
DUSP8P5	ENSG00000235316.1	0.440	1.970	-1.044	4.55e-107
DYNC1I1	ENSG00000158560.14	0.290	6.890	-2.613	2.37e-77
DYNC2H1	ENSG00000187240.13	0.850	6.460	-2.012	2.47e-95
DYSF	ENSG00000135636.13	3.790	10.910	-1.314	1.72e-26
DZIP1	ENSG00000134874.17	1.250	11.540	-2.479	5.05e-81
DZIP1L	ENSG00000158163.14	0.660	4.060	-1.608	1.69e-65
E2F1	ENSG00000101412.12	13.510	2.130	2.213	5.72e-182
E2F2	ENSG00000007968.6	2.990	0.640	1.283	3.27e-23
E2F3	ENSG00000112242.14	8.210	3.290	1.102	4.10e-122
E2F5	ENSG00000133740.10	13.580	3.720	1.627	4.10e-145
E2F7	ENSG00000165891.15	1.550	0.130	1.174	2.85e-156
E2F8	ENSG00000129173.12	4.940	0.470	2.015	6.54e-89
EBF1	ENSG00000164330.16	0.580	2.970	-1.329	1.08e-72
EBF4	ENSG00000088881.20	1.970	25.989	-3.184	9.30e-108
EBNA1BP2	ENSG00000117395.10	80.532	35.740	1.150	1.01e-98
EBP	ENSG00000147155.10	155.233	28.799	2.390	6.82e-79
EBPL	ENSG00000123179.13	81.260	27.410	1.534	4.89e-128
ECE2	ENSG00000145194.17	12.360	3.120	1.697	1.00e-177
ECHDC2	ENSG00000121310.16	38.561	149.385	-1.927	3.59e-97
ECHDC3	ENSG00000134463.14	0.790	4.100	-1.511	3.52e-18
ECT2	ENSG00000114346.13	30.490	3.620	2.769	4.43e-221
EDAR	ENSG00000135960.9	3.080	0.070	1.931	2.29e-85
EDEM2	ENSG00000088298.12	27.660	11.810	1.162	2.46e-95
EDIL3	ENSG00000164176.12	5.260	12.480	-1.107	2.60e-45
EDNRB	ENSG00000136160.14	2.110	5.710	-1.109	6.02e-53
EEF1A1P12	ENSG00000214199.3	2.540	0.240	1.513	1.76e-149
EEF1A1P19	ENSG00000249855.1	2.140	0.560	1.009	9.76e-131
EEF1A1P5	ENSG00000196205.8	228.967	85.372	1.413	8.88e-61
EEF1A1P6	ENSG00000233476.3	35.409	10.060	1.719	1.67e-104
EEF1A1P9	ENSG00000249264.1	2.340	0.220	1.453	5.95e-143
EEF1A2	ENSG00000101210.10	0.340	5.160	-2.201	1.59e-83
EEF1B2	ENSG00000114942.13	1007.315	477.877	1.074	2.63e-54
EEF1E1	ENSG00000124802.11	27.651	11.060	1.248	1.85e-122
EEF1G	ENSG00000254772.9	2175.150	1004.247	1.114	3.39e-47
EEPD1	ENSG00000122547.10	31.161	14.010	1.099	1.28e-53
EFCAB11	ENSG00000140025.15	9.920	2.870	1.497	2.71e-153
EFEMP1	ENSG00000115380.18	11.010	29.800	-1.359	1.32e-31
EFEMP2	ENSG00000172638.12	18.301	78.113	-2.035	2.55e-35
EFHC1	ENSG00000096093.14	2.520	8.390	-1.416	2.52e-72
EFHC2	ENSG00000183690.12	0.130	1.270	-1.006	8.26e-99
EFHD1	ENSG00000115468.11	1.310	9.500	-2.184	2.48e-96
EFNA1	ENSG00000169242.11	96.790	31.620	1.584	1.75e-72
EFNA2	ENSG00000099617.3	7.420	0.870	2.171	6.36e-17
EFNA3	ENSG00000143590.13	24.180	1.780	3.179	8.83e-159
EFNA4	ENSG00000243364.7	27.751	5.060	2.246	2.16e-107
EFNA5	ENSG00000184349.12	0.700	3.220	-1.312	2.71e-75
EFNB1	ENSG00000090776.5	49.600	18.100	1.406	1.81e-74
EFNB2	ENSG00000125266.6	30.860	14.010	1.086	5.36e-39
EFS	ENSG00000100842.12	1.060	12.560	-2.719	4.87e-99
EFTUD2	ENSG00000108883.12	66.472	28.650	1.186	5.76e-107
EGFL6	ENSG00000198759.11	1.340	0.060	1.142	1.45e-107
EGFL7	ENSG00000172889.15	11.390	31.639	-1.397	2.26e-48
EGFL8	ENSG00000241404.6	4.410	24.519	-2.238	2.34e-104
EHBP1	ENSG00000115504.14	14.020	32.450	-1.155	6.40e-19
EHBP1L1	ENSG00000173442.11	22.721	130.408	-2.470	2.90e-86
EHD2	ENSG00000024422.11	12.560	75.992	-2.505	1.05e-63
EHD4	ENSG00000103966.9	23.060	10.980	1.006	3.69e-42
EHF	ENSG00000135373.12	48.931	3.450	3.488	3.33e-58
EID2B	ENSG00000176401.5	0.470	2.320	-1.175	3.49e-71
EIF1AX	ENSG00000173674.10	72.178	25.509	1.465	1.96e-109
EIF1AXP1	ENSG00000236698.1	17.170	1.840	2.678	9.55e-145
EIF1AY	ENSG00000198692.9	1.760	18.270	-2.804	2.20e-2
EIF2AK1	ENSG00000086232.12	76.288	25.230	1.559	1.50e-137
EIF2S2	ENSG00000125977.6	88.843	37.361	1.228	1.18e-100
EIF2S2P4	ENSG00000128692.8	3.290	0.710	1.327	3.36e-121
EIF3C	ENSG00000184110.14	411.200	189.111	1.116	4.72e-59
EIF3CL	ENSG00000205609.12	75.019	31.519	1.225	6.89e-86
EIF3I	ENSG00000084623.11	220.601	106.713	1.041	3.76e-75
EIF3M	ENSG00000149100.12	310.833	137.262	1.173	5.27e-86
EIF4BP7	ENSG00000225031.1	3.980	0.960	1.345	2.59e-153
EIF4E	ENSG00000151247.12	58.270	23.750	1.260	8.69e-81
EIF4E3	ENSG00000163412.12	4.550	13.370	-1.372	4.11e-84
EIF4EBP1	ENSG00000187840.4	82.813	27.880	1.537	1.48e-108
EIF5A	ENSG00000132507.17	537.603	209.251	1.357	1.30e-75
EIF5A2	ENSG00000163577.7	5.000	1.950	1.024	3.48e-72
EIF5AP4	ENSG00000234743.1	10.040	0.080	3.354	6.56e-194
EIF6	ENSG00000242372.6	320.703	93.460	1.768	1.69e-113
ELF3	ENSG00000163435.15	508.392	50.481	3.307	1.17e-48
ELF4	ENSG00000102034.16	18.330	7.900	1.119	5.24e-39
ELFN1-AS1	ENSG00000236081.1	15.940	0.110	3.932	1.91e-209
ELK1	ENSG00000126767.17	23.441	10.870	1.042	1.14e-106
ELMO3	ENSG00000102890.14	29.510	4.710	2.418	8.77e-47
ELMSAN1	ENSG00000156030.12	7.610	19.740	-1.268	4.63e-120
ELN	ENSG00000049540.16	13.940	44.249	-1.599	1.57e-29
ELOVL6	ENSG00000170522.9	12.610	3.880	1.480	2.49e-30
ELOVL7	ENSG00000164181.13	6.890	2.560	1.148	5.72e-52
EMC10	ENSG00000161671.16	117.881	52.541	1.151	3.12e-83
EME1	ENSG00000154920.14	3.120	0.950	1.079	3.46e-84
EME2	ENSG00000197774.12	3.710	9.580	-1.168	2.41e-42
EMG1	ENSG00000126749.14	31.210	13.330	1.168	1.33e-116
EMILIN1	ENSG00000138080.13	27.070	133.712	-2.263	5.78e-39
EMILIN3	ENSG00000183798.4	0.080	1.490	-1.205	7.94e-79
EML1	ENSG00000066629.16	2.240	20.639	-2.740	6.77e-81
EMP3	ENSG00000142227.10	25.599	111.460	-2.080	1.30e-54
ENC1	ENSG00000171617.13	36.719	4.090	2.890	3.03e-207
ENHO	ENSG00000168913.6	0.350	2.160	-1.227	1.20e-63
ENKD1	ENSG00000124074.11	11.580	24.480	-1.018	1.85e-24
ENO1	ENSG00000074800.13	925.442	340.378	1.440	2.94e-71
ENO2	ENSG00000111674.8	11.770	49.240	-1.976	1.31e-38
ENO3	ENSG00000108515.17	4.950	14.230	-1.356	4.14e-53
ENOPH1	ENSG00000145293.14	35.170	13.270	1.342	4.12e-152
ENOSF1	ENSG00000132199.18	22.099	48.050	-1.086	3.79e-47
ENOX1	ENSG00000120658.12	0.440	4.920	-2.040	8.61e-60
ENPP2	ENSG00000136960.12	5.490	18.699	-1.602	4.32e-59
ENPP3	ENSG00000154269.14	3.170	1.040	1.031	3.90e-7
ENPP5	ENSG00000112796.9	3.040	0.750	1.207	2.85e-78
TSPAN6	ENSG00000000003.14	74.109	17.869	1.993	3.31e-56
FUCA2	ENSG00000001036.13	49.292	20.859	1.202	1.11e-92
RAD52	ENSG00000002016.16	5.360	11.860	-1.016	1.71e-30
LASP1	ENSG00000002834.17	120.709	41.300	1.525	5.33e-63
KLHL13	ENSG00000003096.13	0.890	3.490	-1.248	1.24e-29
ICA1	ENSG00000003147.17	52.650	10.780	2.187	4.48e-110
RBM5	ENSG00000003756.16	43.239	119.701	-1.448	1.41e-68
SLC7A2	ENSG00000003989.16	0.350	2.850	-1.512	7.21e-69
FKBP4	ENSG00000004478.7	72.028	30.560	1.210	1.49e-65
RBM6	ENSG00000004534.14	31.089	91.963	-1.535	2.52e-55
HSPB6	ENSG00000004776.11	4.170	372.939	-6.176	1.16e-116
PDK4	ENSG00000004799.7	4.550	87.851	-4.001	2.21e-138
PRSS22	ENSG00000005001.9	20.189	0.340	3.983	8.15e-206
SLC25A5	ENSG00000005022.5	622.615	294.821	1.076	2.63e-30
MEOX1	ENSG00000005102.12	0.660	2.790	-1.191	3.71e-54
PRKAR2B	ENSG00000005249.12	1.380	7.640	-1.860	1.81e-101
SOX8	ENSG00000005513.9	0.290	1.800	-1.118	6.92e-24
MAP3K14	ENSG00000006062.13	5.970	15.720	-1.262	9.48e-65
TMEM132A	ENSG00000006118.14	16.340	4.100	1.765	2.00e-109
TAC1	ENSG00000006128.11	0.620	4.270	-1.702	3.69e-28
TNFRSF12A	ENSG00000006327.13	73.150	9.010	2.889	1.10e-102
RALA	ENSG00000006451.7	40.321	15.660	1.310	1.95e-118
TTC22	ENSG00000006555.10	9.080	3.040	1.319	5.25e-8
USH1C	ENSG00000006611.15	93.850	8.870	3.265	1.18e-54
GGCT	ENSG00000006625.17	101.222	26.969	1.870	7.88e-140
GTF2IRD1	ENSG00000006704.10	36.959	11.940	1.553	4.70e-75
PNPLA4	ENSG00000006757.11	18.400	6.870	1.302	5.91e-59
PROM1	ENSG00000007062.11	35.921	6.930	2.219	6.02e-22
NOS2	ENSG00000007171.16	6.450	0.770	2.073	5.09e-38
GAS7	ENSG00000007237.18	2.300	13.380	-2.123	7.14e-78
LUC7L	ENSG00000007392.16	28.999	61.982	-1.070	5.09e-39
TEAD3	ENSG00000007866.18	17.610	63.311	-1.789	7.16e-54
NOX1	ENSG00000007952.17	80.070	2.120	4.700	5.22e-69
PLEKHG6	ENSG00000008323.15	31.701	4.860	2.480	6.05e-32
SS18L2	ENSG00000008324.10	28.521	13.010	1.075	1.06e-102
IL32	ENSG00000008517.16	470.548	76.489	2.605	3.76e-73
PKD1	ENSG00000008710.17	21.000	129.041	-2.563	2.35e-84
REV3L	ENSG00000009413.15	3.650	12.980	-1.588	1.39e-82
MASP2	ENSG00000009724.16	0.240	1.920	-1.236	5.50e-126
IYD	ENSG00000009765.14	8.070	0.410	2.685	5.07e-78
MLXIPL	ENSG00000009950.15	16.170	6.340	1.226	1.50e-28
ETV7	ENSG00000010030.13	8.810	1.170	2.177	7.76e-112
NCAPD2	ENSG00000010292.12	33.499	10.920	1.533	5.70e-131
IFFO1	ENSG00000010295.19	2.800	24.020	-2.719	8.89e-120
SEMA3G	ENSG00000010319.6	1.260	3.930	-1.125	1.29e-50
NISCH	ENSG00000010322.15	19.751	61.439	-1.589	2.02e-82
STAB1	ENSG00000010327.10	13.060	79.981	-2.526	4.04e-123
FUZ	ENSG00000010361.13	5.190	13.490	-1.227	1.57e-50
PRSS3	ENSG00000010438.16	142.853	14.900	3.178	1.41e-48
SCMH1	ENSG00000010803.16	17.850	38.271	-1.059	4.61e-34
FYN	ENSG00000010810.17	13.840	31.600	-1.135	2.85e-39
LYPLA2	ENSG00000011009.10	75.300	36.921	1.009	1.16e-54
NME2	ENSG00000011052.21	38.821	5.820	2.546	2.00e-148
UTP18	ENSG00000011260.13	32.680	13.430	1.223	1.22e-131
PTBP1	ENSG00000011304.16	175.228	85.407	1.028	7.24e-75
SYT7	ENSG00000011347.9	16.570	2.740	2.232	9.23e-98
PLAUR	ENSG00000011422.11	59.001	11.740	2.236	8.75e-93
SEMA3B	ENSG00000012171.17	16.360	48.941	-1.524	9.97e-68
KDM5D	ENSG00000012817.15	1.330	21.640	-3.280	1.02e-14
SLC25A39	ENSG00000013306.15	190.612	79.208	1.256	5.51e-87
PGM3	ENSG00000013375.15	19.981	8.840	1.092	2.95e-89
GPRC5A	ENSG00000013588.5	125.443	7.660	3.868	8.08e-93
MAMLD1	ENSG00000013619.13	0.570	3.460	-1.506	4.50e-57
TACC3	ENSG00000013810.18	34.080	7.310	2.078	8.44e-138
STMN4	ENSG00000015592.16	0.030	2.120	-1.599	6.59e-110
IL20RA	ENSG00000016402.12	12.240	1.790	2.246	2.62e-141
IGF1	ENSG00000017427.15	0.640	3.410	-1.427	8.22e-57
SLC38A5	ENSG00000017483.14	69.228	6.630	3.202	1.09e-68
RUFY3	ENSG00000018189.12	9.610	25.170	-1.302	2.21e-73
WWTR1	ENSG00000018408.14	6.620	47.221	-2.662	1.97e-54
ZNF582	ENSG00000018869.16	0.410	2.310	-1.231	1.16e-94
PHLDB1	ENSG00000019144.16	20.900	77.091	-1.834	1.75e-97
SYT13	ENSG00000019505.7	7.030	1.440	1.718	4.14e-29
ZRANB1	ENSG00000019995.6	3.550	8.770	-1.102	3.02e-49
ZFP64	ENSG00000020256.19	12.580	5.340	1.099	2.51e-113
SAMD4A	ENSG00000020577.13	2.730	19.280	-2.443	7.28e-65
SERPINB1	ENSG00000021355.12	134.614	39.080	1.759	8.22e-80
NRXN3	ENSG00000021645.17	1.140	9.810	-2.337	4.52e-45
FHL1	ENSG00000022267.16	8.240	411.229	-5.479	3.04e-150
PLEKHO1	ENSG00000023902.13	14.980	174.356	-3.456	1.07e-71
GCLM	ENSG00000023909.9	8.500	3.370	1.120	9.38e-71
HSD17B6	ENSG00000025423.11	1.670	7.450	-1.662	2.59e-60
TOMM34	ENSG00000025772.7	55.111	10.610	2.273	6.53e-205
VIM	ENSG00000026025.13	203.586	526.101	-1.365	6.77e-31
RTEL1-TNFRSF6B	ENSG00000026036.20	2.910	8.020	-1.206	1.49e-34
RNASET2	ENSG00000026297.15	135.711	47.811	1.486	1.71e-81
KCNG1	ENSG00000026559.13	0.360	3.100	-1.592	1.94e-61
MIPEP	ENSG00000027001.9	25.849	9.870	1.305	2.43e-116
SH2D2A	ENSG00000027869.11	7.630	2.550	1.282	3.31e-87
HMGB3	ENSG00000029993.14	75.311	8.480	3.009	4.45e-121
FAM13B	ENSG00000031003.10	4.610	10.730	-1.064	2.91e-65
TSSC1	ENSG00000032389.12	26.469	8.770	1.491	1.04e-150
FUT8	ENSG00000033170.16	21.070	7.010	1.462	4.91e-96
SLC4A7	ENSG00000033867.16	4.010	9.620	-1.084	7.04e-37
TMSB10	ENSG00000034510.5	4272.011	1348.462	1.663	4.91e-72
MYOC	ENSG00000034971.14	0.010	5.090	-2.592	1.29e-113
SH3YL1	ENSG00000035115.21	75.071	22.000	1.726	9.21e-88
FAM136A	ENSG00000035141.7	46.211	21.151	1.092	1.55e-105
VCL	ENSG00000035403.16	38.689	123.647	-1.651	6.83e-43
TIMP2	ENSG00000035862.12	66.022	188.823	-1.502	1.07e-29
USP2	ENSG00000036672.15	0.660	5.030	-1.861	4.54e-99
TUBG2	ENSG00000037042.8	5.080	24.411	-2.063	5.64e-66
RPL26L1	ENSG00000037241.7	48.589	19.779	1.255	1.30e-118
FLT4	ENSG00000037280.15	1.380	4.030	-1.080	5.29e-50
METTL1	ENSG00000037897.16	36.329	11.130	1.622	8.29e-138
PI4K2B	ENSG00000038210.12	15.260	5.010	1.436	1.16e-127
FAM65A	ENSG00000039523.17	17.220	37.660	-1.085	9.21e-24
SPDL1	ENSG00000040275.16	8.370	3.380	1.097	3.27e-115
RTN4R	ENSG00000040608.13	4.400	0.910	1.499	3.91e-115
INPP4A	ENSG00000040933.15	4.020	9.700	-1.092	7.44e-59
TNC	ENSG00000041982.14	16.950	92.302	-2.378	2.23e-22
FAM65C	ENSG00000042062.11	0.640	11.180	-2.893	1.11e-142
TDP1	ENSG00000042088.13	10.990	3.460	1.427	1.42e-148
GUCA2B	ENSG00000044012.3	0.270	5.750	-2.410	1.21e-35
HSPA5	ENSG00000044574.7	230.463	81.351	1.491	5.25e-64
GPM6B	ENSG00000046653.14	0.580	9.890	-2.785	3.91e-105
PREX2	ENSG00000046889.18	0.270	1.580	-1.023	1.21e-72
FAM214A	ENSG00000047346.12	6.960	23.811	-1.640	5.80e-115
HDAC9	ENSG00000048052.21	1.060	3.480	-1.121	1.14e-55
NOP16	ENSG00000048162.19	50.429	19.660	1.316	7.97e-104
LMO3	ENSG00000048540.14	0.420	35.961	-4.702	6.68e-108
KITLG	ENSG00000049130.13	6.500	15.730	-1.157	5.69e-43
PER3	ENSG00000049246.14	1.740	9.400	-1.924	9.76e-61
EPN3	ENSG00000049283.17	13.130	1.180	2.696	1.49e-30
RCN1	ENSG00000049449.8	102.721	36.121	1.482	1.05e-104
RFC2	ENSG00000049541.10	29.970	11.340	1.328	2.65e-117
FOXP3	ENSG00000049768.14	1.620	0.170	1.163	4.01e-85
PPP1R3F	ENSG00000049769.12	1.100	4.280	-1.330	2.48e-54
NFE2L3	ENSG00000050344.8	61.290	4.640	3.465	8.18e-261
PTGER3	ENSG00000050628.20	1.020	8.000	-2.156	4.17e-50
RAD51	ENSG00000051180.16	13.060	1.200	2.676	2.23e-124
POLQ	ENSG00000051341.13	2.160	0.300	1.281	1.97e-42
THOC3	ENSG00000051596.9	55.081	12.610	2.043	5.33e-156
PRSS8	ENSG00000052344.15	175.289	12.880	3.667	2.41e-46
RRP12	ENSG00000052749.13	20.180	8.060	1.225	3.05e-107
MSMO1	ENSG00000052802.12	54.628	12.870	2.004	4.31e-74
FOXN3	ENSG00000053254.15	8.900	19.620	-1.058	4.25e-42
METTL24	ENSG00000053328.8	0.140	2.990	-1.807	3.52e-76
MRTO4	ENSG00000053372.4	31.111	12.570	1.243	2.83e-114
NNAT	ENSG00000053438.8	0.850	29.670	-4.051	1.07e-92
LAMA3	ENSG00000053747.15	22.860	7.130	1.553	4.06e-45
KCNQ1	ENSG00000053918.15	53.928	4.310	3.371	9.08e-93
ENTPD2	ENSG00000054179.11	16.130	7.460	1.018	2.10e-46
LY75	ENSG00000054219.10	19.410	1.630	2.956	4.10e-102
OPN3	ENSG00000054277.12	10.110	4.460	1.025	1.19e-9
PTPRN	ENSG00000054356.13	0.460	3.030	-1.465	5.29e-55
NOP58	ENSG00000055044.10	73.211	32.830	1.133	1.00e-82
KCNH2	ENSG00000055118.14	4.530	34.750	-2.693	5.40e-45
MCOLN3	ENSG00000055732.12	0.470	2.240	-1.140	4.48e-41
ITIH4	ENSG00000055955.15	0.600	6.370	-2.204	1.25e-108
IL17RB	ENSG00000056736.9	12.730	4.660	1.279	1.56e-22
GYG2	ENSG00000056998.18	6.240	2.150	1.201	6.86e-39
PKP2	ENSG00000057294.13	37.621	6.430	2.378	1.02e-45
GDI2	ENSG00000057608.16	176.374	74.630	1.230	6.48e-81
LAMC2	ENSG00000058085.14	40.861	3.020	3.380	7.89e-148
SEC61A1	ENSG00000058262.9	135.635	65.630	1.036	1.54e-68
PPP1R12A	ENSG00000058272.15	15.290	50.299	-1.655	3.52e-49
NDC1	ENSG00000058804.11	13.990	3.570	1.714	2.33e-150
FLYWCH1	ENSG00000059122.16	13.110	27.261	-1.002	2.32e-38
UNKL	ENSG00000059145.18	4.870	12.150	-1.164	1.71e-43
TBXAS1	ENSG00000059377.15	18.539	6.080	1.465	4.00e-62
PSD	ENSG00000059915.16	1.670	144.707	-5.770	1.15e-101
STYK1	ENSG00000060140.8	3.850	0.850	1.390	1.04e-6
GNA15	ENSG00000060558.3	5.600	1.880	1.196	1.10e-57
HDAC7	ENSG00000061273.17	21.529	51.002	-1.207	4.24e-23
PRDM6	ENSG00000061455.10	0.270	2.570	-1.491	1.11e-63
MRPS35	ENSG00000061794.12	82.481	29.510	1.452	3.83e-112
GUCY1B3	ENSG00000061918.12	3.240	17.210	-2.103	1.37e-41
MON2	ENSG00000061987.14	6.970	18.550	-1.294	1.10e-97
LTK	ENSG00000062524.15	1.230	3.660	-1.063	1.49e-20
SLC6A16	ENSG00000063127.15	0.130	2.160	-1.484	7.33e-108
RPL18	ENSG00000063177.12	2932.671	1418.843	1.047	1.86e-44
WISP2	ENSG00000064205.10	0.170	9.380	-3.149	3.80e-136
ST3GAL6	ENSG00000064225.12	1.030	3.330	-1.093	1.25e-53
NGFR	ENSG00000064300.8	0.430	8.690	-2.760	3.94e-110
LPAR2	ENSG00000064547.13	18.830	8.410	1.075	3.76e-54
SUGP2	ENSG00000064607.16	21.570	47.910	-1.116	7.46e-41
SLC12A2	ENSG00000064651.13	87.601	12.590	2.705	1.92e-157
EYA2	ENSG00000064655.18	0.640	4.060	-1.625	1.02e-56
FAR2	ENSG00000064763.10	23.221	9.080	1.265	9.07e-45
NTHL1	ENSG00000065057.7	44.699	17.280	1.322	1.62e-106
WDR3	ENSG00000065183.15	12.310	3.310	1.627	1.03e-127
NTN1	ENSG00000065320.8	0.690	8.030	-2.418	1.30e-121
GLP2R	ENSG00000065325.12	0.180	6.790	-2.723	2.11e-191
MCM10	ENSG00000065328.16	4.150	0.230	2.066	4.14e-181
ERBB3	ENSG00000065361.14	96.783	36.780	1.372	8.37e-56
KARS	ENSG00000065427.14	131.798	64.462	1.021	9.39e-84
MYLK	ENSG00000065534.18	20.359	418.388	-4.295	4.05e-76
TMEM206	ENSG00000065600.12	7.180	1.840	1.526	9.26e-188
